"","Anon_Student_id","Problem_Hierarchy","Problem_Name","Problem_View","Step_Name","Correct_Transaction_Time","Step_Duration","Correct_Step_Duration","Error_Step_Duration","Incorrects","Hints","Corrects","KC","Opportunity","Correct_First_Attempt"
"1",0.0109489051094891,0.666666666666667,0.666666666666667,0,0.746438746438746,0.102148643888693,0.0180288461538462,0.026978417266187,0,0,0,0.1,0.973451327433628,0.271698113207547,1
"2",0.0109489051094891,0.19047619047619,0.214052287581699,0,0.86039886039886,0.184924269108841,0.00721153846153846,0.0107913669064748,0,0,0,0.1,0.814159292035398,0.354716981132075,1
"3",0.0109489051094891,0.849206349206349,0.650326797385621,0,0.796771130104463,0.21169425854174,0.0180288461538462,0.026978417266187,0,0,0,0.1,0.141592920353982,0.313207547169811,1
"4",0.0510948905109489,0.00793650793650794,0.0669934640522876,0,0.855650522317189,0.0172595984501585,0.0216346153846154,0.0323741007194245,0,0,0,0.1,0.123893805309735,0.113207547169811,1
"5",0.0912408759124088,0.23015873015873,0.954248366013072,0,0.849002849002849,0.0471997182106376,0.00240384615384615,0.00359712230215827,0,0,0,0.1,0.353982300884956,0.0339622641509434,1
"6",0.0912408759124088,0.817460317460317,0.387254901960784,0.473684210526316,0.253561253561254,0.0887636491722437,0.00600961538461538,0.00899280575539568,0,0,0,0.1,0.964601769911504,0.305660377358491,1
"7",0.0912408759124088,0.285714285714286,0.0326797385620915,0,0.490978157644824,0.212398731947869,0.00480769230769231,0.00719424460431655,0,0,0,0.1,0.212389380530973,0.664150943396226,1
"8",0.0912408759124088,0.30952380952381,0.937908496732026,0,0.639126305792972,0.263473053892216,0.00480769230769231,0.00719424460431655,0,0,0,0.1,0.230088495575221,0.781132075471698,1
"9",0.0912408759124088,0.936507936507937,0.777777777777778,0,0.854700854700855,0.308559351884466,0.00480769230769231,0.00719424460431655,0,0,0,0.1,0.300884955752212,0.637735849056604,1
"10",0.0912408759124088,1,0.284313725490196,0,0.312440645773979,0.380767876012681,0.00480769230769231,0.00719424460431655,0,0,0,0.1,0.0530973451327434,0.222641509433962,1
